language,n,time
C++ (v0.1),1,3
C++ (v0.1),2,3
C++ (v0.1),3,2
C++ (v0.1),4,2
C++ (v0.1),5,3
C++ (v0.1),6,3
C++ (v0.1),7,2
C++ (v0.1),8,4
C++ (v0.1),9,3
C++ (v0.1),10,5
C++ (v0.1),11,13
C++ (v0.1),12,58
C++ (v0.1),13,314
C++ (v0.1),14,1847
C++ (v0.1),15,11804
C++ (v0.1),16,80259
Python (v0.1),0,63
Python (v0.1),1,32
Python (v0.1),2,31
Python (v0.1),3,39
Python (v0.1),4,42
Python (v0.1),5,34
Python (v0.1),6,32
Python (v0.1),7,33
Python (v0.1),8,36
Python (v0.1),9,55
Python (v0.1),10,150
Python (v0.1),11,712
Python (v0.1),12,2979
Python (v0.1),13,16198
Python (v0.1),14,100582
Python (v0.1),15,662266
Python (v0.1),16,4667453
Rust (v0.1),1,3
Rust (v0.1),2,2
Rust (v0.1),3,3
Rust (v0.1),4,2
Rust (v0.1),5,2
Rust (v0.1),6,2
Rust (v0.1),7,3
Rust (v0.1),8,2
Rust (v0.1),9,4
Rust (v0.1),10,7
Rust (v0.1),11,23
Rust (v0.1),12,110
Rust (v0.1),13,591
Rust (v0.1),14,3337
Rust (v0.1),15,21305
Rust (v0.1),16,144311
C++ (v0.1),1,2
C++ (v0.1),2,3
C++ (v0.1),3,2
C++ (v0.1),4,3
C++ (v0.1),5,3
C++ (v0.1),6,3
C++ (v0.1),7,2
C++ (v0.1),8,3
C++ (v0.1),9,3
C++ (v0.1),10,5
C++ (v0.1),11,12
C++ (v0.1),12,57
C++ (v0.1),13,309
C++ (v0.1),14,1798
C++ (v0.1),15,11596
C++ (v0.1),16,78865
Rust (v0.1),1,2
Rust (v0.1),2,3
Rust (v0.1),3,3
Rust (v0.1),4,2
Rust (v0.1),5,4
Rust (v0.1),6,3
Rust (v0.1),7,4
Rust (v0.1),8,5
Rust (v0.1),9,6
Rust (v0.1),10,7
Rust (v0.1),11,23
Rust (v0.1),12,106
Rust (v0.1),13,583
Rust (v0.1),14,3267
Rust (v0.1),15,21178
Rust (v0.1),16,142123
C++ (v0.1),0,3
C++ (v0.1),1,3
C++ (v0.1),2,3
C++ (v0.1),3,3
C++ (v0.1),4,3
C++ (v0.1),5,2
C++ (v0.1),6,4
C++ (v0.1),7,2
C++ (v0.1),8,3
C++ (v0.1),9,3
C++ (v0.1),10,5
Python (v0.1),0,56
Python (v0.1),1,32
Python (v0.1),2,31
Python (v0.1),3,31
Python (v0.1),4,40
Python (v0.1),5,51
Python (v0.1),6,48
Python (v0.1),7,47
Python (v0.1),8,37
Python (v0.1),9,53
Python (v0.1),10,132
Rust (v0.1),0,2
Rust (v0.1),1,2
Rust (v0.1),2,3
Rust (v0.1),3,2
Rust (v0.1),4,2
Rust (v0.1),5,2
Rust (v0.1),6,2
Rust (v0.1),7,3
Rust (v0.1),8,2
Rust (v0.1),9,4
Rust (v0.1),10,7
C++ (v0.1),0,3
C++ (v0.1),1,3
C++ (v0.1),2,2
C++ (v0.1),3,3
C++ (v0.1),4,3
C++ (v0.1),5,3
C++ (v0.1),6,3
C++ (v0.1),7,3
C++ (v0.1),8,3
C++ (v0.1),9,3
C++ (v0.1),10,5
C++ (v0.1),0,3
C++ (v0.1),1,3
C++ (v0.1),2,3
C++ (v0.1),3,2
C++ (v0.1),4,3
C++ (v0.1),5,3
C++ (v0.1),6,3
C++ (v0.1),7,3
C++ (v0.1),8,2
C++ (v0.1),9,4
C++ (v0.1),10,5
Python (v0.1),0,58
Python (v0.1),1,33
Python (v0.1),2,33
Python (v0.1),3,33
Python (v0.1),4,50
Python (v0.1),5,52
Python (v0.1),6,52
Python (v0.1),7,52
Python (v0.1),8,60
Python (v0.1),9,92
Python (v0.1),10,136
Rust (v0.1),0,3
Rust (v0.1),1,2
Rust (v0.1),2,2
Rust (v0.1),3,2
Rust (v0.1),4,3
Rust (v0.1),5,2
Rust (v0.1),6,2
Rust (v0.1),7,2
Rust (v0.1),8,3
Rust (v0.1),9,4
Rust (v0.1),10,7
